season,gamenumber,gamedate,hteamcode,vteamcode
2011,20935,2/27/2012,COL,ANA
2011,20936,2/27/2012,CGY,STL
2011,20937,2/28/2012,BOS,OTT
2011,20938,2/28/2012,TOR,FLA
2011,20939,2/28/2012,WSH,NYI
2011,20940,2/28/2012,CAR,NSH
2011,20941,2/28/2012,CBJ,DET
2011,20942,2/28/2012,TB,MTL
2011,20943,2/28/2012,MIN,LA
2011,20944,2/13/2012,VAN,PHX
2011,20945,2/28/2012,SJ,PHI
2011,20946,2/29/2012,DAL,PIT
2011,20947,2/29/2012,CHI,TOR
2011,20948,2/29/2012,EDM,STL
2011,20949,2/29/2012,ANA,BUF
2011,20950,3/1/2012,BOS,NJ
